	9.1	9.2	8	7	6	5	4	P	3	2	1	N
Candidatus Latescibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Candidatus Limnoluna	0.0	1.0	3.0	1.0	0.0	7.0	9.0	0.0	24.0	7.0	12.0	0.0
Candidatus Megaira	1.0	0.0	19.0	136.0	0.0	14.0	18.0	0.0	15.0	0.0	4.0	0.0
Candidatus Methylomirabilis	2.0	0.0	10.0	31.0	0.0	4.0	6.0	0.0	4.0	18.0	7.0	0.0
Candidatus Methylopumilus	6.0	13.0	88.0	129.0	0.0	109.0	138.0	0.0	175.0	125.0	199.0	0.0
Candidatus Methylospira	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Microthrix	1.0	0.0	159.0	1.0	0.0	1.0	0.0	0.0	0.0	10.0	0.0	1.0
Candidatus Midichloria	0.0	0.0	3.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Moduliflexus	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Candidatus Nitrotoga	3.0	0.0	3.0	32.0	0.0	11.0	11.0	0.0	5.0	5.0	5.0	0.0
Candidatus Nostocoida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Candidatus Nucleicultrix	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Candidatus Odyssella	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Candidatus Omnitrophus	8.0	0.0	28.0	69.0	1.0	105.0	96.0	0.0	92.0	84.0	23.0	0.0
Candidatus Ovatusbacter	0.0	0.0	19.0	110.0	0.0	2.0	9.0	0.0	4.0	8.0	14.0	0.0
Candidatus Paracaedibacter	3.0	0.0	27.0	96.0	0.0	5.0	23.0	0.0	6.0	17.0	4.0	0.0
Candidatus Planktoluna	6.0	1.0	40.0	31.0	0.0	37.0	66.0	0.0	71.0	98.0	42.0	0.0
Candidatus Planktophila	1.0	1.0	19.0	21.0	0.0	20.0	22.0	1.0	15.0	19.0	17.0	0.0
Candidatus Protistobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Candidatus Regiella	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
Candidatus Riegeria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Candidatus Soleaferrea	1.0	0.0	0.0	1.0	0.0	5.0	4.0	0.0	2.0	0.0	1.0	0.0
Candidatus Solibacter	0.0	0.0	1.0	2.0	0.0	2.0	1.0	0.0	1.0	2.0	0.0	0.0
Candidatus Symbiobacter	50.0	145.0	729.0	465.0	3.0	592.0	1488.0	2.0	548.0	1775.0	833.0	1.0
Candidatus Tenderia	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Thiobios	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
