	9.1	9.2	8	7	6	5	4	P	3	2	1	N
Erysipelotrichaceae	6.0	0.0	0.0	0.0	12.0	15.0	3.0	4.0	0.0	7.0	1.0	0.0
Eubacteriaceae	5.0	2.0	0.0	0.0	11.0	45.0	60.0	0.0	0.0	0.0	27.0	0.0
F082	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0
FFCH9454	0.0	0.0	0.0	0.0	7.0	3.0	2.0	0.0	0.0	0.0	9.0	0.0
FTLpost3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Family III	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Family XI	5.0	0.0	0.0	0.0	61.0	12.0	17.0	3.0	0.0	2.0	2.0	0.0
Family XII	30.0	10.0	0.0	0.0	87.0	130.0	169.0	297.0	0.0	24.0	92.0	0.0
Family XIII	28.0	6.0	0.0	0.0	52.0	73.0	75.0	2.0	0.0	5.0	30.0	0.0
Family XIV	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Family XVIII	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Ferrovaceae	0.0	0.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0
Fibrobacteraceae	79.0	9.0	0.0	0.0	336.0	559.0	1353.0	9.0	0.0	158.0	922.0	6.0
Fibrobacterales	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Fimbriimonadaceae	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0
Flammeovirgaceae	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0
Flavobacteriaceae	1904.0	445.0	3.0	2.0	3182.0	3315.0	3948.0	61.0	12.0	3727.0	16713.0	2024.0
Fodinicurvataceae	0.0	0.0	0.0	0.0	6.0	10.0	1.0	0.0	0.0	1.0	4.0	0.0
Francisellaceae	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	1.0	0.0
Frankiaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Fusobacteriaceae	6.0	0.0	1.0	0.0	12.0	27.0	18.0	1.0	1.0	0.0	3.0	0.0
GWC2-45-44	0.0	0.0	0.0	0.0	1.0	4.0	12.0	0.0	0.0	0.0	4.0	0.0
GWF2-44-16	2.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0
GZKB75	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Gaiellaceae	2.0	1.0	0.0	0.0	35.0	31.0	121.0	0.0	0.0	19.0	45.0	0.0
Gallionellaceae	34.0	1.0	0.0	0.0	452.0	666.0	736.0	8.0	0.0	46.0	681.0	92.0
Geitlerinemaceae	0.0	0.0	0.0	0.0	7.0	3.0	59.0	0.0	0.0	0.0	1.0	0.0
Geminicoccaceae	29.0	6.0	0.0	0.0	34.0	30.0	58.0	1.0	0.0	25.0	28.0	0.0
Gemmataceae	32.0	7.0	0.0	0.0	214.0	164.0	618.0	3.0	0.0	29.0	194.0	0.0
Gemmatimonadaceae	648.0	138.0	0.0	0.0	1453.0	681.0	1176.0	9.0	0.0	139.0	288.0	13.0
Geobacteraceae	8.0	1.0	0.0	0.0	128.0	89.0	135.0	0.0	0.0	18.0	72.0	0.0
Geodermatophilaceae	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0
Gracilibacteraceae	4.0	0.0	0.0	0.0	4.0	3.0	6.0	0.0	0.0	2.0	3.0	13.0
Hahellaceae	0.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0
Haliangiaceae	71.0	8.0	1.0	1.0	656.0	765.0	2586.0	12.0	0.0	81.0	755.0	37.0
Halieaceae	2.0	3.0	0.0	0.0	26.0	4.0	31.0	0.0	0.0	1.0	36.0	29.0
Halomonadaceae	9.0	0.0	0.0	0.0	7.0	11.0	95.0	1.0	0.0	1.0	59.0	2.0
Halothiobacillaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0
Helicobacteraceae	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	12.0	4.0	0.0
Heliobacteriaceae	0.0	0.0	0.0	0.0	22.0	33.0	16.0	0.0	0.0	1.0	35.0	0.0
Herpetosiphonaceae	1.0	0.0	0.0	0.0	4.0	8.0	18.0	1.0	0.0	2.0	29.0	0.0
Holophagaceae	5.0	2.0	0.0	0.0	22.0	10.0	10.0	0.0	0.0	0.0	6.0	0.0
Holosporaceae	62.0	10.0	0.0	0.0	56.0	60.0	44.0	1.0	0.0	4.0	49.0	0.0
Hydrogenedensaceae	7.0	1.0	0.0	0.0	36.0	64.0	109.0	2.0	0.0	20.0	43.0	59.0
Hydrogenophilaceae	15.0	6.0	0.0	0.0	130.0	159.0	147.0	6.0	0.0	42.0	231.0	0.0
Hymenobacteraceae	0.0	2.0	0.0	0.0	2.0	6.0	5.0	0.0	0.0	2.0	2.0	8.0
Hyphomicrobiaceae	196.0	31.0	0.0	0.0	531.0	385.0	1381.0	3.0	0.0	309.0	360.0	0.0
Hyphomonadaceae	1.0	0.0	0.0	0.0	10.0	16.0	12.0	0.0	0.0	8.0	35.0	0.0
Iamiaceae	9.0	0.0	0.0	0.0	25.0	9.0	60.0	0.0	0.0	10.0	8.0	0.0
Idiomarinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ignavibacteriaceae	0.0	0.0	0.0	0.0	12.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0
Ika33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Ilumatobacteraceae	776.0	116.0	0.0	1.0	339.0	254.0	428.0	4.0	1.0	91.0	159.0	3.0
Immundisolibacteraceae	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
Inquilinaceae	3.0	0.0	0.0	0.0	29.0	11.0	7.0	0.0	0.0	1.0	9.0	0.0
Intrasporangiaceae	17.0	1.0	0.0	0.0	25.0	10.0	27.0	0.0	0.0	15.0	25.0	7.0
Iodidimonadaceae	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0
