	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
e31c7f99-3a76-4a83-b78b-439ce926d8e5			Dikarya											
e31d75b8-462f-445c-aef0-41e895c7ca94	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e31f6d6d-389a-41f1-8d5f-562b29dd8443	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e31f767f-8bd3-428a-a767-6afe656ad2fa			Enterobacteriaceae											
e3221a26-7241-41a1-9291-1d3cbb358257			Dikarya											
e322c3ae-3f32-48cf-b17d-484605138f69	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e3268c24-908e-4ded-8d66-460162c36227			Dikarya											
e3277449-afc9-42a8-880a-20f09733db6d			Dikarya											
e32907e2-598d-42c2-92b0-8d1f02cfeec1	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e329f799-c484-45b8-ab72-18aa761ffc49			Enterobacteriaceae											
e32afdb1-b6d4-4755-975d-448dcafa8320			Dikarya											
e32b89e4-6a81-496c-8730-be6197a79038			Dikarya											
e32fe381-cdc2-4dbf-a2ea-6e6f64885211			Staphylococcaceae											
e333036f-875e-470b-a6c8-ddd305de488e	Staphylococcaceae			Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
e333b0b1-e840-4529-8bc4-347772365ead	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e3379294-ac93-4e2b-b5be-138ab3c56c79	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e3382b8c-830c-42ad-9139-9704b0afbb98			Staphylococcaceae											
e33b8f05-1a67-49ee-beda-31cc2eaa287e	Bacillaceae			Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e344cdc7-bae1-451e-a12d-e037f77c3020	Bacillaceae	Bacillaceae		Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e344cfc3-164b-46ee-ad0c-2f6ede71049a	Bacillaceae			Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e34b79f8-df56-4093-a95e-50dbdf145238			Dikarya											
