	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	N-August_family.tsv	P-April_family.tsv	P-August_family.tsv	P-June_family.tsv
Paraspirulinaceae	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parvibaculaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parvularculaceae	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pasteurellaceae	2.0	2.0	4.0	8.0	0.0	4.0	4.0	6.0	2.0	2.0	1.0	3.0	22.0	15.0	4.0	0.0	6.0	0.0	3.0	3.0
PeH15	7.0	0.0	0.0	1.0	0.0	4.0	0.0	2.0	7.0	1.0	3.0	0.0	2.0	2.0	2.0	6.0	0.0	0.0	0.0	0.0
Pedosphaeraceae	12.0	2.0	0.0	35.0	1.0	32.0	29.0	59.0	48.0	101.0	69.0	0.0	57.0	18.0	35.0	18.0	0.0	0.0	0.0	0.0
Peptococcaceae	0.0	2.0	0.0	1.0	0.0	2.0	4.0	6.0	1.0	5.0	5.0	0.0	1.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0
Peptostreptococcaceae	13.0	23.0	42.0	32.0	158.0	13.0	12.0	158.0	19.0	71.0	69.0	65.0	7.0	128.0	97.0	102.0	726.0	0.0	0.0	0.0
Phaselicystidaceae	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
Phormidesmiaceae	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phormidiaceae	5.0	0.0	7.0	3.0	0.0	3.0	185.0	2.0	3.0	0.0	1.0	4.0	2.0	7.0	3.0	21.0	0.0	0.0	0.0	0.0
Phycisphaeraceae	1.0	6.0	0.0	4.0	2.0	0.0	6.0	7.0	7.0	1.0	7.0	11.0	31.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0
Pirellulaceae	6.0	2.0	6.0	22.0	4.0	5.0	9.0	12.0	5.0	6.0	1.0	0.0	38.0	10.0	0.0	6.0	0.0	0.0	0.0	0.0
Piscirickettsiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Planococcaceae	0.0	0.0	0.0	3.0	2.0	1.0	0.0	4.0	2.0	1.0	6.0	5.0	5.0	6.0	3.0	0.0	0.0	28.0	15.0	17.0
Pleomorphomonadaceae	0.0	0.0	0.0	2.0	3.0	0.0	0.0	5.0	0.0	3.0	4.0	0.0	6.0	4.0	13.0	5.0	0.0	0.0	0.0	0.0
Polyangiaceae	0.0	0.0	0.0	8.0	0.0	1.0	1.0	3.0	4.0	2.0	1.0	0.0	17.0	67.0	1.0	0.0	0.0	0.0	0.0	0.0
Porphyromonadaceae	15.0	19.0	9.0	5.0	21.0	15.0	5.0	3.0	9.0	4.0	6.0	0.0	0.0	8.0	8.0	13.0	6.0	0.0	0.0	0.0
Porticoccaceae	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	23.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotellaceae	27.0	16.0	7.0	6.0	7.0	32.0	23.0	12.0	17.0	18.0	14.0	4.0	11.0	25.0	18.0	8.0	20.0	1.0	0.0	0.0
